#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name                      accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- -----            -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
M02696:28:000000000-ATWK5:1:1101:21090:1000 -            436 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:11577:4520 -            436 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:9449:3897  -            436 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:20471:4087 -            439 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05     9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:15518:2558 -            436 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:18342:2044 -            433 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.8e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:25378:5279 -            436 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.5e-05   16.9   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:13861:4991 -            435 3_End_Metschnikowia_58S_end_long_fifteen -             45   3.7e-05   16.8   0.0   1   1   2.2e-05   8.9e-05   15.6   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:19365:1209 -            418 3_End_Metschnikowia_58S_end_long_fifteen -             45   5.4e-05   16.3   0.0   1   1     5e-05    0.0002   14.5   0.0     1    26    72    97    72   103 0.94 -
M02696:28:000000000-ATWK5:1:1101:10847:2612 -            340 3_End_Metschnikowia_58S_end_long_four -             45   9.8e-06   18.8   0.0   1   1   4.1e-07   1.9e-05   17.9   0.0     1    44    84   127    84   128 0.91 -
M02696:28:000000000-ATWK5:1:1101:23025:1814 -            341 3_End_Metschnikowia_58S_end_long_four -             45   9.9e-06   18.8   0.0   1   1   4.1e-07   1.9e-05   17.9   0.0     1    44    84   127    84   128 0.91 -
M02696:28:000000000-ATWK5:1:1101:18940:3295 -            341 3_End_Metschnikowia_58S_end_long_four -             45   9.9e-06   18.8   0.0   1   1   4.1e-07   1.9e-05   17.9   0.0     1    44    84   127    84   128 0.91 -
M02696:28:000000000-ATWK5:1:1101:10847:2612 -            340 3_End_Metschnikowia_58S_end_long_nine -             45   1.5e-05   18.0   0.0   1   1   7.4e-07   3.4e-05   16.8   0.0     1    39    84   122    84   124 0.96 -
M02696:28:000000000-ATWK5:1:1101:23025:1814 -            341 3_End_Metschnikowia_58S_end_long_nine -             45   1.6e-05   17.9   0.0   1   1   7.5e-07   3.4e-05   16.8   0.0     1    39    84   122    84   124 0.96 -
M02696:28:000000000-ATWK5:1:1101:18940:3295 -            341 3_End_Metschnikowia_58S_end_long_nine -             45   1.6e-05   17.8   0.0   1   1   7.5e-07   3.4e-05   16.8   0.0     1    39    84   122    84   124 0.96 -
M02696:28:000000000-ATWK5:1:1101:23025:1814 -            341 3_End_Metschnikowia_58S_end_long_six -             45   1.4e-05   18.7   0.0   1   1   5.6e-07   2.6e-05   17.8   0.0     1    29    85   113    85   121 0.92 -
M02696:28:000000000-ATWK5:1:1101:18940:3295 -            341 3_End_Metschnikowia_58S_end_long_six -             45   1.4e-05   18.7   0.0   1   1   5.6e-07   2.6e-05   17.8   0.0     1    29    85   113    85   121 0.92 -
M02696:28:000000000-ATWK5:1:1101:10847:2612 -            340 3_End_Metschnikowia_58S_end_long_six -             45   1.4e-05   18.7   0.0   1   1   5.6e-07   2.5e-05   17.8   0.0     1    29    85   113    85   121 0.92 -
M02696:28:000000000-ATWK5:1:1101:10847:2612 -            340 3_End_Metschnikowia_58S_end_long_two -             45   1.1e-06   22.1   0.0   1   1   4.4e-08     2e-06   21.3   0.0     1    44    84   127    84   128 0.90 -
M02696:28:000000000-ATWK5:1:1101:23025:1814 -            341 3_End_Metschnikowia_58S_end_long_two -             45   1.2e-06   22.1   0.0   1   1   4.4e-08     2e-06   21.3   0.0     1    44    84   127    84   128 0.90 -
M02696:28:000000000-ATWK5:1:1101:18940:3295 -            341 3_End_Metschnikowia_58S_end_long_two -             45   1.2e-06   22.1   0.0   1   1   4.4e-08     2e-06   21.3   0.0     1    44    84   127    84   128 0.90 -
M02696:28:000000000-ATWK5:1:1101:17972:2096 -            382 3_End_Tedersoo_58S_end_long_eleven -             45   8.4e-09   28.4   0.1   1   2   1.9e-08   6.8e-08   25.5   0.0     6    45    89   128    84   128 0.86 -
M02696:28:000000000-ATWK5:1:1101:17972:2096 -            382 3_End_Tedersoo_58S_end_long_eleven -             45   8.4e-09   28.4   0.1   2   2       1.9       6.6   -0.1   0.0     7    16   303   312   297   313 0.89 -
M02696:28:000000000-ATWK5:1:1101:24972:2862 -            346 3_End_Tedersoo_58S_end_long_eleven -             45   8.8e-09   28.3   0.0   1   1   5.8e-09     2e-08   27.2   0.0     3    41    86   124    84   128 0.94 -
M02696:28:000000000-ATWK5:1:1101:16217:1134 -            347 3_End_Tedersoo_58S_end_long_eleven -             45   8.8e-09   28.3   0.0   1   1   5.9e-09   2.1e-08   27.1   0.0     3    41    86   124    84   128 0.94 -
M02696:28:000000000-ATWK5:1:1101:9755:1131  -            346 3_End_Tedersoo_58S_end_long_eleven -             45   8.8e-09   28.3   0.0   1   1   5.8e-09     2e-08   27.2   0.0     3    41    86   124    84   128 0.94 -
M02696:28:000000000-ATWK5:1:1101:21296:1644 -            384 3_End_Tedersoo_58S_end_long_eleven -             45   8.9e-09   28.3   0.1   1   2     2e-08   6.9e-08   25.5   0.0     6    45    90   129    85   129 0.86 -
M02696:28:000000000-ATWK5:1:1101:21296:1644 -            384 3_End_Tedersoo_58S_end_long_eleven -             45   8.9e-09   28.3   0.1   2   2         2       7.1   -0.2   0.0     7    16   305   314   299   315 0.91 -
M02696:28:000000000-ATWK5:1:1101:25205:3208 -            407 3_End_Tedersoo_58S_end_long_eleven -             45   3.5e-08   26.4   0.0   1   1   1.9e-08   6.6e-08   25.5   0.0     6    45    89   128    84   128 0.86 -
M02696:28:000000000-ATWK5:1:1101:19365:1209 -            418 3_End_Tedersoo_58S_end_long_eleven -             45   6.6e-08   25.5   0.0   1   1   4.6e-08   1.6e-07   24.3   0.0     3    45    86   128    84   128 0.92 -
M02696:28:000000000-ATWK5:1:1101:11927:4457 -            335 3_End_Tedersoo_58S_end_long_eleven -             45   1.3e-07   24.6   0.0   1   1   1.1e-07   3.7e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:18763:2146 -            335 3_End_Tedersoo_58S_end_long_eleven -             45   1.3e-07   24.6   0.0   1   1   1.1e-07   3.7e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:18338:3967 -            335 3_End_Tedersoo_58S_end_long_eleven -             45   1.5e-07   24.4   0.0   1   1   1.1e-07   3.7e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:8797:1471  -            335 3_End_Tedersoo_58S_end_long_eleven -             45   1.5e-07   24.4   0.0   1   1   1.1e-07   3.7e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:14739:2910 -            335 3_End_Tedersoo_58S_end_long_eleven -             45   1.5e-07   24.4   0.0   1   1   1.1e-07   3.7e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:10554:1487 -            342 3_End_Tedersoo_58S_end_long_eleven -             45   1.5e-07   24.4   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:22268:5099 -            342 3_End_Tedersoo_58S_end_long_eleven -             45   1.5e-07   24.4   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:9449:5060  -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.5e-07   24.4   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:16787:1549 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:12154:1708 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:13652:3569 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:20290:4623 -            342 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:13008:1478 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:22403:2112 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:20003:4951 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:20645:1124 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:18616:4411 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:23402:4478 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:6883:4653  -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:12125:1794 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:8414:3917  -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:23697:4779 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:12189:1843 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:19794:2984 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:22785:2001 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.6e-07   24.3   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:19840:1384 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.7e-07   24.2   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:20616:3550 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   1.8e-07   24.2   0.0   1   1   1.1e-07   3.8e-07   23.1   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:12830:3515 -            343 3_End_Tedersoo_58S_end_long_eleven -             45   2.8e-06   20.3   0.0   1   1     2e-06     7e-06   19.0   0.0     3    41    86   124    84   128 0.93 -
M02696:28:000000000-ATWK5:1:1101:19331:3209 -            341 3_End_Tedersoo_58S_end_long_eleven -             45   5.8e-06   19.3   0.0   1   1   3.3e-06   1.2e-05   18.3   0.0     3    41    86   124    84   130 0.91 -
M02696:28:000000000-ATWK5:1:1101:19277:2582 -            341 3_End_Tedersoo_58S_end_long_eleven -             45   6.1e-06   19.2   0.0   1   1   3.3e-06   1.1e-05   18.4   0.0     3    41    85   123    83   126 0.92 -
M02696:28:000000000-ATWK5:1:1101:20474:4468 -            342 3_End_Tedersoo_58S_end_long_eleven -             45   6.1e-06   19.2   0.0   1   1   3.3e-06   1.1e-05   18.4   0.0     3    41    86   124    84   127 0.92 -
M02696:28:000000000-ATWK5:1:1101:5377:4201  -            341 3_End_Tedersoo_58S_end_long_eleven -             45   7.4e-06   19.0   0.0   1   1   4.3e-06   1.5e-05   18.0   0.0     3    41    86   124    84   127 0.93 -
M02696:28:000000000-ATWK5:1:1101:19365:1209 -            418 3_End_Tedersoo_58S_end_long_nine -             45   1.2e-13   43.8   0.0   1   1     2e-13   2.3e-13   42.9   0.0     4    43    87   126    77   128 0.92 -
M02696:28:000000000-ATWK5:1:1101:16217:1134 -            347 3_End_Tedersoo_58S_end_long_nine -             45   8.8e-13   41.1   0.0   1   1   1.4e-12   1.7e-12   40.2   0.0     2    44    85   127    84   128 0.96 -
M02696:28:000000000-ATWK5:1:1101:24972:2862 -            346 3_End_Tedersoo_58S_end_long_nine -             45   8.8e-13   41.1   0.0   1   1   1.4e-12   1.7e-12   40.2   0.0     2    44    85   127    84   128 0.96 -
M02696:28:000000000-ATWK5:1:1101:9755:1131  -            346 3_End_Tedersoo_58S_end_long_nine -             45   8.9e-13   41.0   0.0   1   1   1.4e-12   1.7e-12   40.2   0.0     2    44    85   127    84   128 0.96 -
M02696:28:000000000-ATWK5:1:1101:23025:1814 -            341 3_End_Tedersoo_58S_end_long_nine -             45   2.4e-11   36.5   0.0   1   1   5.2e-11   6.2e-11   35.2   0.0     2    44    85   127    84   128 0.95 -
M02696:28:000000000-ATWK5:1:1101:18940:3295 -            341 3_End_Tedersoo_58S_end_long_nine -             45   2.4e-11   36.5   0.0   1   1   5.2e-11   6.2e-11   35.2   0.0     2    44    85   127    84   128 0.95 -
M02696:28:000000000-ATWK5:1:1101:10847:2612 -            340 3_End_Tedersoo_58S_end_long_nine -             45   2.5e-11   36.4   0.0   1   1   5.2e-11   6.2e-11   35.2   0.0     2    44    85   127    84   128 0.95 -
M02696:28:000000000-ATWK5:1:1101:25205:3208 -            407 3_End_Tedersoo_58S_end_long_nine -             45   2.6e-11   36.3   0.0   1   1   4.4e-11   5.2e-11   35.4   0.0     6    43    89   126    77   128 0.89 -
M02696:28:000000000-ATWK5:1:1101:19331:3209 -            341 3_End_Tedersoo_58S_end_long_nine -             45   4.1e-11   35.7   0.0   1   1   6.6e-11   7.7e-11   34.8   0.0     2    44    85   127    84   128 0.96 -
M02696:28:000000000-ATWK5:1:1101:5377:4201  -            341 3_End_Tedersoo_58S_end_long_nine -             45   4.1e-11   35.7   0.0   1   1   6.6e-11   7.7e-11   34.8   0.0     2    44    85   127    84   128 0.96 -
M02696:28:000000000-ATWK5:1:1101:25893:3588 -            439 3_End_Tedersoo_58S_end_long_nine -             45   5.7e-11   35.3   0.0   1   1   1.1e-10   1.3e-10   34.1   0.0     4    44    87   127    84   128 0.92 -
M02696:28:000000000-ATWK5:1:1101:19573:1370 -            439 3_End_Tedersoo_58S_end_long_nine -             45   6.6e-11   35.1   0.0   1   1   1.1e-10   1.3e-10   34.1   0.0     4    44    87   127    84   128 0.92 -
M02696:28:000000000-ATWK5:1:1101:12698:1563 -            439 3_End_Tedersoo_58S_end_long_nine -             45   6.7e-11   35.1   0.0   1   1   1.1e-10   1.3e-10   34.1   0.0     4    44    87   127    84   128 0.92 -
M02696:28:000000000-ATWK5:1:1101:25791:3730 -            439 3_End_Tedersoo_58S_end_long_nine -             45   6.7e-11   35.1   0.0   1   1   1.1e-10   1.3e-10   34.1   0.0     4    44    87   127    84   128 0.92 -
M02696:28:000000000-ATWK5:1:1101:23252:4876 -            436 3_End_Tedersoo_58S_end_long_nine -             45   6.8e-11   35.0   0.0   1   1   1.1e-10   1.3e-10   34.1   0.0     4    44    87   127    84   128 0.92 -
M02696:28:000000000-ATWK5:1:1101:20029:4646 -            432 3_End_Tedersoo_58S_end_long_nine -             45   6.8e-11   35.0   0.0   1   1   1.1e-10   1.3e-10   34.2   0.0     4    44    87   127    84   128 0.92 -
M02696:28:000000000-ATWK5:1:1101:23424:2640 -            439 3_End_Tedersoo_58S_end_long_nine -             45   6.8e-11   35.0   0.0   1   1   1.1e-10   1.3e-10   34.1   0.0     4    44    87   127    84   128 0.92 -
M02696:28:000000000-ATWK5:1:1101:20471:4087 -            439 3_End_Tedersoo_58S_end_long_nine -             45   6.8e-11   35.0   0.0   1   1   1.1e-10   1.3e-10   34.1   0.0     4    44    87   127    84   128 0.92 -
M02696:28:000000000-ATWK5:1:1101:4498:4938  -            433 3_End_Tedersoo_58S_end_long_nine -             45   6.8e-11   35.0   0.0   1   1   1.1e-10   1.3e-10   34.2   0.0     4    44    87   127    84   128 0.92 -
